id,tweet
1468235618463457283,"Polres Bogor melakukan rekayasa lalu lintas berupa sistem ganjil-genap di Jalur Puncak, Kabupaten Bogor, Jawa Barat selama peringatan Natal dan Tahun Baru 2022 meski pemerintah batal menerapkan PPKM level tiga serentak di seluruh wilayah. https://t.co/Z8pjWg8zv5"
1468235553002954768,"@rramadhani15_ @ntsana_ Profil Biodata Rebecca Klopper IG Instagram, Twitter, Keturunan dan Umur

Trends : Jeha Khilaf Hanggini Junior #PPKM #BoikotJNE #DukungJNE Justin Bieber Rumini Idul Fitri Simon Nataru Junior Roberts 

https://t.co/7imEg0ivrk"
1468235487529869332,"@hunchanlaif @hanggini Profil Biodata Rebecca Klopper IG Instagram, Twitter, Keturunan dan Umur

Trends : Jeha Khilaf Hanggini Junior #PPKM #BoikotJNE #DukungJNE Justin Bieber Rumini Idul Fitri Simon Nataru Junior Roberts 

https://t.co/7imEg0ivrk"
1468235417824673800,Gak jadi ppkm kan? Yuk liburan 🤩
1468235379786530836,"@notyourcrusz @ntsana_ @hanggini Profil Biodata Rebecca Klopper IG Instagram, Twitter, Keturunan dan Umur

Trends : Jeha Khilaf Hanggini Junior #PPKM #BoikotJNE #DukungJNE Justin Bieber Rumini Idul Fitri Simon Nataru Junior Roberts 

https://t.co/7imEg0ivrk"
1468235349604323330,"@cakecaramell @AREAJULID Profil Biodata Rebecca Klopper IG Instagram, Twitter, Keturunan dan Umur

Trends : Jeha Khilaf Hanggini Junior #PPKM #BoikotJNE #DukungJNE Justin Bieber Rumini Idul Fitri Simon Nataru Junior Roberts 

https://t.co/7imEg0ivrk"
1468235322752475140,"@irfanrbs @CNNIndonesia Seandainya ada ppkm di bulan Ramadhan atau di acara keagamaan orang islam, lebih baik kirim perbandingan aja ke bapak yang membatalkan ppkm nataru"
1468235289126707213,"PPKM Level 3 pada saat Natal &amp; Tahun Baru resmi ditiadakan, #TimMarves. Hal ini akan diseimbangkan dengan adanya peningkatan testing &amp; tracing, serta mengingat adanya tingkat vaksinasi yang semakin baik di Indonesia.

Berikut pernyataan Juru Bicara Menko Marves, Jodi Mahardi.👇🏼 https://t.co/VbUhtjGjEV"
1468235275201650691,"@MellySptyni Profil Biodata Rebecca Klopper IG Instagram, Twitter, Keturunan dan Umur

Trends : Jeha Khilaf Hanggini Junior #PPKM #BoikotJNE #DukungJNE Justin Bieber Rumini Idul Fitri Simon Nataru Junior Roberts 

https://t.co/7imEg0ivrk"
1468235176908136456,"@d4ngdj4t @LiaIsti6 @Thalomoan1 @DediKusnadiYah1 @inandseta @Wiradchan21 @RohmanAminudin @Lampu_Jin @Bramastyofay1 @jayadinata09 @diway19 @MamurMohammad @Muhamma15022310 @albert_morafia @PadelMm @TalentaAndilau @ambarukmo15 Muhun kang @d4ngdj4t 😂
Tapi na teh ayak nu anyar berita PPKM level 3 te' berlaku 💪💪😅"
1468235123720085524,"Wuih ada drakor saeguk rekomendasi teh @lendymut nih kuy baca reviewnya 

Secret Royal Inspector &amp; Joy (2021) : Mengungkap Kasus di Chungcheong 

PPKM #CM7Nov21 @ConnectingMama 

https://t.co/Vf6YzHl8da"
1468235112001290240,"@resinurna @dreamgloww_ @MarisaMuharomah @jaemxren @tubirfess Profil Biodata Rebecca Klopper IG Instagram, Twitter, Keturunan dan Umur

Trends : Jeha Khilaf Hanggini Junior #PPKM #BoikotJNE #DukungJNE Justin Bieber Rumini Idul Fitri Simon Nataru Junior Roberts 

https://t.co/7imEg0ivrk"
1468235097295884289,"Pemerintah Batal Terapkan PPKM Level 3 saat Nataru

https://t.co/fpUyrzcwNg"
1468235088236326920,ppkm ra ppkm yo ngene ngene wae
1468235054899998720,Jangan lupa ya Yang Mulia Paduka Tan Agung bapak presiden @jokowi  jika hari² besar Agama ISLAM kalau bisa di berlakukan PPKM Level 30. Biar corona ya ga Ganas. https://t.co/XcDojE0dkX
1468235048705044492,"@ppyounjae @piscokmozarela @moguiselle @fllwyurdrim @beyshaal @highopeeee @tubirfess Profil Biodata Rebecca Klopper IG Instagram, Twitter, Keturunan dan Umur

Trends : Jeha Khilaf Hanggini Junior #PPKM #BoikotJNE #DukungJNE Justin Bieber Rumini Idul Fitri Simon Nataru Junior Roberts 

https://t.co/7imEg0ivrk"
1468235032431149066,"Alhamdulillah penanganan covid semakin baik, makanya ppkm level 3 yg bakal diterapkan nanti nataru akhirnya dibatalin https://t.co/N1eDnLrmun"
1468234938407346181,"@gelato_catto @babysshakk @whatsund @dunialawaq @tubirfess Profil Biodata Rebecca Klopper IG Instagram, Twitter, Keturunan dan Umur

Trends : Jeha Khilaf Hanggini Junior #PPKM #BoikotJNE #DukungJNE Justin Bieber Rumini Idul Fitri Simon Nataru Junior Roberts 

https://t.co/7imEg0ivrk"
1468234924553560066,Belum percaya 100% kalo PPKM level 3  dibatalkan😂.
1468234919688261648,"Patroli memberikan himbauan dan teguran kepada Masyarakat Pemilik Usaha / PKL dalam rangka PPKM Level I di Wilayah Kec. Gayamsari Kota Semarang, untuk mematuhi PROKES dan Instruksi WALIKOTA Semarang No.6 Tahun 2021

@divisihumaspolri @humas_poldajateng @polritvradio https://t.co/vDiNMcEtMc"
1468234894014881810,Oh pantes ppkm level 3 dianulir 🤔 https://t.co/xwW4KCRXbN
1468234874066767878,"Kami sungguh menyayangkan inkonsistensi kebijakan penanganan pandemi ini. PPKM Level 3 selama libur Natal dan Tahun Baru sudah tepat, kenapa dilonggarkan? Terlalu cepat berpuas diri akan membawa kita pada malapetaka berikutnya.. https://t.co/7hpjfkIWgU"
1468234870510006282,"@tubirfess Profil Biodata Rebecca Klopper IG Instagram, Twitter, Keturunan dan Umur

Trends : Jeha Khilaf Hanggini Junior #PPKM #BoikotJNE #DukungJNE Justin Bieber Rumini Idul Fitri Simon Nataru Junior Roberts 

https://t.co/7imEg0ivrk"
1468234804575547403,"@yoshinoyawenak Profil Biodata Rebecca Klopper IG Instagram, Twitter, Keturunan dan Umur

Trends : Jeha Khilaf Hanggini Junior #PPKM #BoikotJNE #DukungJNE Justin Bieber Rumini Idul Fitri Simon Nataru Junior Roberts 

https://t.co/7imEg0ivrk"
1468234793313837068,"@Robert_Piliang PPKM sama toleransi apa hubungannya.
Toleransi adalah sikap manusia untuk saling menghormati dan menghargai perbedaan, baik antar individu maupun kelompok. Kalo ga percaya baca di google"
