,id,tweet,clean_tweet
177,1468131805949677570,"@idtodayco Akhir tahun pulih, ntr di maret pas puasa bakval ppkm lg dgn alasan kasus melonjak. Sudah kasar kali main di kau ferguso🤔",pulih ntr maret pas puasa bakval ppkm lg dgn alas lonjak kasar kali main kau ferguso
178,1468131778359562240,@CNNIndonesia Pemberlakuan Pelarangan Kami Mudik (PPKM) hanya berlaku bagi kami yang Islam. Mungkin kami ngontrak tinggal di NKRI,laku larang mudik ppkm laku islam ngontrak tinggal nkri
179,1468131722315268100,"@CNNIndonesia Hrus adil dunk utk mencegah pnyebaran covid 19.pada wkt perayaan besar hari agama islam, Idul fitri dan Idul Adha dilaksanakan PPKM..",hrus adil dunk utk cegah pnyebaran covid wkt raya agama islam idul fitri idul adha laksana ppkm
180,1468131708050366466,ppkm kan batal… BISA GAA LIBURAN KITA BALIKIN?? Masa gw sekolah sampe tahun baru,ppkm batal gaa libur balikin gw sekolah sampe
181,1468131693152268289,PPKM batal. Tiket makin mahal ga?,ppkm batal tiket mahal tidak
182,1468131631139471361,"Alhamdulillah segera diumumkan bersama oleh Rois Am, Katib Am, Ketum dan Sekjen PBNU bhw sesudah pencabutan PPKM level 3, Muktamar akan dilaksanakan sesuai hasil Munas dan Konbes yg lalu, yaitu tgl 23 Desember 2021.
#MuktamarNU2021 #MuktamarNU34 #lampung",alhamdulillah umum rois am katib am tum sekjen pbnu bhw cabut ppkm level muktamar laksana sesuai hasil munas konbes  tgl desember muktamarnu muktamarnu lampung
183,1468131615993786368,"Seperti air di atas daun talas. Tapi daun talasnya sudah di ekspor ke Australia, pengganti tembakau.... wah untuk udud.

Sophia Latjuba Dada Paha Idul Fitri PPKM Nataru #banjir Makassar #JNEMajuIndonesia #Cawapres2024 

https://t.co/YDgVXIEvjn",air daun talas daun talas ekspor australia ganti tembakau udud sophia latjuba dada paha idul fitri ppkm nataru banjir makassar jnemajuindonesia cawapres
184,1468131608402169856,nanti abis nataru naik lagi tuh kasus covid trus dampaknya di idul fitri trus ppkm level 100 kali ya ntar? mueheh https://t.co/krFZ2djat9,abis nataru tuh covid trus dampak idul fitri trus ppkm level kali ya ntar mueheh
185,1468131578752630786,Ppkm level 3 nya jadi ga sih.. apakabar mau jelong2 tahun baru. Terancam🥺,ppkm level nya tidak sih apakabar jelong ancam
186,1468131545504440323,"PPKM Level 3 Serempak Batal saat Nataru, Syarat Perjalanan Diperketat, Kerumunan Maksimal 50 Orang, Berikut Peraturan Lainnya https://t.co/wBbnEXDzuq",ppkm level serempak batal nataru syarat jalan ketat kerumun maksimal orang atur
187,1468131521001234433,"Udan enak ngopo
#โอไมครอน 
#Goku 
#PPKM https://t.co/IyrUHd5T56",udan enak ngopo goku ppkm
188,1468131485655842817,"Ppkm jare batal tapi gak oleh cuti, podo ae sob.",ppkm jare batal tidak cuti podo ae sob
189,1468131434569207813,"Dah terbukti kan, yang pengen penyekatan itu si mentri Mentri itu, yang doyan banget berbisnis dan mengharapkan hibah2 dari kondisi skrg ini.
.
Akhirnya Pak Presiden langsung yang tegaskan tidak perlu PPKM.
.
#PPKM #Indonesia #BangkitBersama #lawanaturanbodoh",dah bukti ken sekat si tri tri doyan banget bisnis harap hibah kondisi skrg presiden langsung tegas ppkm ppkm indonesia bangkitbersama lawanaturanbodoh
190,1468131425463398400,"#MiminShopeeKasihAlbumTXT  dan kasih diskon dunk 
biar beli di https://t.co/VmWS4hDJS5
#PSSday
PPKM
#indonesiauntuksemeru
justin bieber
Rumini
#mandirimenghidupi https://t.co/IUfk6HGCaG",miminshopeekasihalbumtxt kasih diskon dunk biar beli pssday ppkm indonesiauntuksemeru justin bieber rumin mandirimenghidupi
191,1468131377048522757,"indonesia ini aneh, kemarin marah marah karna diberlakukan ppkm level 3 pas natal dan tahun baru. sekarang udah dibatalkan, ngomen semoga lebaran gk diberlakukan ppkm. kalo gk mendoakan, angka covid makin tinggi. apa sih maunya?",indonesia aneh kemarin marah marah karna laku ppkm level pas natal udah batal ngomen moga lebaran gk laku ppkm kalo gk doa angka covid sih mau
192,1468131296773763073,"@republikaonline Ktka perayaan dirinya, tdk jd ppkm?",ktka raya tdk jd ppkm
193,1468131189722517510,"PPKM Level 3 Batal, Ini Aturan Perjalanan Darat saat Libur Nataru https://t.co/esmMlPAxfj",ppkm level batal atur jalan darat libur nataru
194,1468131141169610752,@marlina_idha PPKM pas lebaran saja  diterapkan itu baru hebat 😀😀😀,idha ppkm pas lebaran terap hebat
195,1468131119371481088,Mudah mudahan akhir tahun ga ppkm tapi ga mungkin si. Gapapa ppkm asalkan pelabuhan ttp buka plis😫,mudah mudah tidak ppkm tidak si gapapa ppkm labuh ttp buka plis
196,1468131104032911362,Dada paha sayap rumini PPKM ☕ https://t.co/l3ZTtxqfHp,dada paha sayap rumin ppkm
197,1468130968066093059,"pemerintah ba prank leh, rangorang sudah ba kasih habis cuti karna katanya akhir tahun mau ppkm level 3, eh batal 🤣",perintah ba prank leh rangorang ba kasih habis cuti karna ppkm level eh batal
198,1468130815619919872,"PPKM Level 3 Batal, Kasus Covid-19 Bakal Naik Usai Nataru? https://t.co/YDqSNXfs4O",ppkm level batal covid nataru
199,1468130803553120261,"Luhut Batalkan PPKM Level 3 Nataru, Pesta Tahun Baru Tetap Dilarang https://t.co/aCS6U5sDZP",luhut batal ppkm level nataru pesta larang
200,1468130786796871681,"Pemerintah Batal Terapkan PPKM Level 3 saat Libur Nataru, Begini Tanggapan Epidemiolog https://t.co/pKZ1CScJGN",perintah batal terap ppkm level libur nataru tanggap epidemiolog
201,1468130766953455620,"PPKM gajadi, karantina jadi 3 hari lg yuk pak 😅",ppkm gajadi karantina lg yuk
202,1468130754227937280,"@tvOneNews Ntar ppkm level 3 ny di pindah aja pas ramadhan idul fitri, dah kebayang sih...",ntar ppkm level ny pindah  pas ramadhan idul fitri dah bayang sih
203,1468130746988699655,"PPKM Level 3 Nataru Dibatalkan, Covid-19 Dinilai Terkendali https://t.co/bfS2fnXSak",ppkm level nataru batal covid nilai kendali
204,1468130718937083905,"Pemerintah pada Senin (6/12) memutuskan untuk tidak menerapkan PPKM level atau tingkat 3 pada periode Natal 2021 dan Tahun Baru 2022 secara merata pada semua wilayah, melainkan menerapkan sejumlah pengetatan. https://t.co/gVHTAT4UmM",perintah senin putus terap ppkm level tingkat periode natal rata wilayah terap ketat
205,1468130690575175686,Sida PPKM level 3 ga iki? Sini ngmong nggak sana ngomong iya.,sida ppkm level tidak iki ngmong nggak ngomong iya
206,1468130680273993729,"PPKM Level 3 Nataru Batal, DPR: Pemerintah Tak Lakukan Kajian Matang https://t.co/k2hj66oamv",ppkm level nataru batal dpr perintah laku kaji matang
207,1468130658643894273,"[PROMO] Desember Jadi Baik! Aamin. 

Ada Promo baru bulan depan nih. Cek pinned tweet buat caranya.

Bantu juga kuesioner sobat kita ya...

https://t.co/li9blThQnV
 
Terima kasih
#titipsurvei Paha Nataru Dada PPKM Rumini Bobby Kepencet Idul Fitri https://t.co/G12IU9j6RS",promo desember aamin promo nih cek pinned tweet bantu kuesioner sobat ya terima kasih titipsurvei paha nataru dada ppkm rumin bobby pencet idul fitri
208,1468130618957451264,@wripzzz ppkm,ppkm
209,1468130614184341505,"Pemerintah Batalkan Penerapan PPKM Level 3 saat Nataru, Ini Gantinya…&gt;&gt; https://t.co/HGDkPkfCuc",perintah batal terap ppkm level nataru ganti gt gt
210,1468130577584824322,"@tvOneNews Kl tdk mau dibilang plin plan ya sdh kl sdh tetapkan PPKM L3 ya sdh dijalankan, jgn dibatalkan masalah covid mereda sangat DISYUKURI tapi bukan berarti terus batalkan PPKM L3 yg sdh ditetapkan. Mana ""bos"" nya ini, bicara dong.Ntar kl kasus covid melonjak mencari ""kambing hitam"".",kl tdk bilang plin plan ya sdh kl sdh tetap ppkm l ya sdh jalan jgn batal covid reda syukur batal ppkm l  sdh tetap bos nya bicara ntar kl covid lonjak cari kambing hitam
211,1468130570609643520,"@tirta_cipeng PPKM Level 3 nya disimpan dulu, mungkin bwt bulan puasa - lebaran tahun depan dok.  Mungkin lhoh ya mungkin…",cipeng ppkm level nya simpan bwt puasa lebaran dok lhoh ya
212,1468130570450268161,"https://t.co/Wl0BCjvk93 

PPKM Rumini Sophia Latjuba
Makassar  #IndonesiaUntukSemeru
Nataru",ppkm rumin sophia latjuba makassar indonesiauntuksemeru nataru
213,1468130568130883585,"@__enmity @Chouxuettish Ga jadi PPKM, jadinya ppk m.",enmity tidak ppkm ppk m
214,1468130568021835776,"Untuk acara-acara kerumunan masyarakat yang diizinkan berjumlah maksimal 50 orang, pertandingan olahraga tetap tanpa penonton, dan operasional pusat perbelanjaan, restoran, bioskop juga dibatasi hanya 75 persen (dari total kapasitas). #ppkm 
https://t.co/XsNRzGcKss",acara acara kerumun masyarakat izin maksimal orang tanding olahraga tonton operasional pusat belanja restoran bioskop batas persen total kapasitas ppkm
215,1468130412841082883,"Bandarlampung Tetap Terapkan PPKM Level 3 Saat Nataru
https://t.co/sLvoGX8ezM",bandarlampung terap ppkm level nataru
216,1468130384101756934,PPKM level 3 se-Indonesia periode Nataru dibatalkan. Pihak Kemenkes mengatakan kebijakan tersebut sudah didiskusikan dengan para ahli epidemiologi. https://t.co/SX7mtKGmgR,ppkm level indonesia periode nataru batal kemenkes bijak diskusi ahli epidemiologi
217,1468130319555387392,Kepala Staf Kepresidenan Moeldoko menjelaskan alasan pemerintah membatalkan rencana penerapan PPKM Level 3 serentak di seluruh wilayah saat periode Natal dan Tahun Baru. https://t.co/xLx9CPpbNS,kepala staf presiden moeldoko alas perintah batal rencana terap ppkm level serentak wilayah periode natal
218,1468130270918299650,"Kenapa mesti disebutin namanya terusss? 

Sophia latjuba #KadrunHamaNKRI paha #BoikotJNE #banjir ppkm https://t.co/ddS7t98vY0",mesti disebutin nama terusss sophia latjuba kadrunhamankri paha boikotjne banjir ppkm
219,1468130244884242432,@Markonah_003 PPKM lepel3 nye diundur ke bulan apri kalo ga bulan may om🤣🤣,ppkm lepel nye undur apri kalo tidak may om
220,1468130231286259712,"@kumparan Indikasi PPKM itu politis...
Bisa diterapkan kapan saja  sesuai kepentingan dan selera penguasa...",indikasi ppkm politis terap sesuai penting selera kuasa
221,1468130199816581123,Pemerintah lewat Menko Marves memastikan kebijakan PPKM Level 3 Nataru di seluruh wilayah Indonesia dibatalkan. Kira-kira setuju atau nggak detikers? https://t.co/Cs6G6exPY0,perintah menko marves bijak ppkm level nataru wilayah indonesia batal tuju nggak detikers
222,1468130186600321026,"PPKM Level 3 Serentak Libur Nataru Dibatalkan, Pemerintah Lebih Perketat Syarat Perjalanan dan Perayaan https://t.co/3326bO9WET",ppkm level serentak libur nataru batal perintah ketat syarat jalan raya
223,1468130168510181376,"@tvOneNews Positif thinking aja karena katanya populasi orang yg sdh vaksin dosis 1 diatas 70%, nanti kalau lebaran ditetapkan ppkm baru maki2 si opung",positif thinking  populasi orang  sdh vaksin dosis atas lebaran tetap ppkm maki si opung
224,1468130165171519489,"@delliAmin @AlipWre @tvOneNews He bujang... kalo memang karena vaksin udah 80% yg jd alasan, yaudah sekalian aja cabut PPKM. Udah biarkan semua berjalan normal seperti biasa ajg",he bujang kalo vaksin udah  jd alas yaudah  cabut ppkm udah biar jalan normal ajg
225,1468130153058353157,"Natal &amp; tahun baru gak jadi Ppkm, semoga pas Idul Fitri tahun depan juga gak ada larangan mudik lebaran ya pak Luhut !",natal amp tidak ppkm moga pas idul fitri tidak larang mudik lebaran ya luhut
226,1468130141960245248,"@CilokaMan @tvOneNews Saya percaya Non-muslim gak memulai congor dulu.
Mau PPKM mau kagak, urusan untuk hari raya bukan sebuah hal yang di Agungkan.
Seheboh apa Natal di negeri ini?
See, sekali sepi ya sepi.
Minoritas pula, ibadah kadang di ganggu.
Apalagi sok-sokan jadi dewa.
Minta aja, ada PPKM.",percaya non muslim tidak congor ppkm kagak urus raya agung heboh natal negeri see sepi ya sepi minoritas ibadah kadang ganggu sok sok dewa  ppkm
227,1468130046405611521,"Sprti aku, tau diri PPKM atau engga... Aku tetep diem di rumah. 🙃 https://t.co/GuNne6I5VI",sprti tau ppkm tidak tetep diem rumah
228,1468130046292361216,"Wali Kota Pekanbaru, Firdaus mengimbau masyarakat agar tetap waspada serta tetap menjalankan protokol kesehatan.

Ia menyebut bahwa tim satgas bakal membahas kelanjutan PPKM di Kota Pekanbaru pada hari ini untuk kembali turun level.",wali kota pekanbaru firdaus imbau masyarakat waspada jalan protokol sehat sebut tim satgas bahas lanjut ppkm kota pekanbaru turun level
229,1468129993599307778,"BREAKING NEWS 

Pemerintah batal menerapkan aturan pemberlakuan pembatasan kegiatan masyarakat (PPKM) Level 3 untuk seluruh wilayah Indonesia pada periode Natal dan Tahun Baru. https://t.co/wDl5CDm6E2",breaking news perintah batal terap atur laku batas giat masyarakat ppkm level wilayah indonesia periode natal
230,1468129969691774976,"@tvOneNews Repot musuh bani yg curigaan dan nyimpan sakit hati serta kebencian yg akut. Di terapkan ppkm salah, gak di terapkan salah. Gak ada obat 🤭😀😂",repot musuh bani  curiga nyimpan sakit hati benci  akut terap ppkm salah tidak terap salah tidak obat
231,1468129961995161600,"PPKM Level 3 Nasional Batal Diterapkan, Antibodi Covid-19 Masyarakat Tinggi Jadi Salah Satu Alasan
 
https://t.co/uYz3r7WTkc lewat @wartakotalive",ppkm level nasional batal terap antibodi covid masyarakat salah alas
232,1468129950368559108,@SantorinisSun Awas aja nanti kalau sampai lebaran ada ppkm dengan alasan warga yang belum vaksin dosis 3.,awas  lebaran ppkm alas warga vaksin dosis
