id,tweet
1467868520255942662,"@detikcom Haduh pak saya bingung ngafalkannya. Mulai psbb, ppkm, sekarang pkn. Belum singkatan yg lain."
1467867989475090434,"OPERASI YUSTISI MALAM HARI

Peningkatan Disiplin Protokol Kesehatan dalam rangka pemberlakuan PPKM level 2 guna cegah penyebaran Covid 19 bertempat jalan raya depan Polsek dan kawasan Pasar Desa Senduro Kecamatan Senduro , hari Senin, tanggal, 6 Desember 2021, pukul 20.30 Wib. https://t.co/LrBBlTfY6Q"
1467866831817887744,@aquaeror jiakh sieun ppkm hyunc
1467866800117354497,-11fess PPKM yang Desember-januari itu level berapaa yaa? KRL Solo-Jogja nanti syaratnya ribet engga? Makasih
1467866348185214981,"Percayalah akan Banjir dan bencana terjadi..Pas orang ingin merayakan natal malah dibuat level 3 ppkm sedangkan duniawi menarik investor tidak ada masalah.

https://t.co/fy2KVmN3Rp"
1467866149241049088,"@milabukanmia Hai, Kak. Mohon maaf atas ketidaknyamanannya. Perubahan jam operasional diberlakukan sebagai upaya mendukung kebijakan pemerintah terkait penerapan PPKM level 2 dan untuk mencegah penyebaran virus Corona Covid-19 di lingkungan MRT Jakarta. Terima kasih."
1467865889685049351,natal nanti PPKM ga si? gw pengen liat pohon
1467865845653118982,@deaawaliaa Ppkm pinky
1467865799775772673,Mau ada ppkm lagi gasi tgl 20an
1467865493302222855,"@baby_alien28 Iyes lumayan juga.. 😂

Karena kalau ambil paket dinner nya saja terganjal PPKM.."
1467865422909227009,"Pemerintah Perpanjang PPKM di Luar Jawa-Bali Hingga 23 Desember 2021, Termasuk Sumbar https://t.co/hwqn15hvDa"
1467864901599199243,@jogmfs Memancing untuk ikutan tengbes tapi kan corona ppkm
1467864682178351105,"tetap pakai masker, jaga jarak, menghindari kerumunan, bijak bepergian.
#TetapMenjagaProkes
https://t.co/U7uqWggQgx"
1467864674964152322,"Implementasi kebijakan tersebut mencakup upaya mendorong pemerintah daerah memastikan masyarakat terus disiplin protokol kesehatan dan menahan mobilitas selama libur Natal 2021 dan Tahun Baru 2022. #TetapMenjagaProkes
https://t.co/U7uqWggQgx"
1467864667384991747,"Hal ini harus kita waspadai, apalagi mengingat sebentar lagi kita akan memasuki periode liburan Natal dan Tahun Baru, #TetapMenjagaProkes
https://t.co/U7uqWggQgx"
1467864659612954629,"Pada periode 15 - 21 November 2021, lebih dari 91 persen orang terpantau mematuhi aturan menjaga jarak dan menghindari kerumunan. #TetapMenjagaProkes
https://t.co/U7uqWggQgx"
1467863880885891079,"Dn BTS PPKM gue apus aja kali ya, gaada PPKM2nya inimah perasaan 😭😭"
1467863734836084744,@rappersvga Hahaha Gapapa ayang kan nanti kalau gak ppkm bisa kisseu👀
1467863453205368833,"Kegiatan PPKM gabungan 3 pilar kecamatan Pedurungan membagikan masker kepada warga.
@DivHumas_Polri
@humaspemkotsmg
@poldajateng_ 
@HumasTabesSmg https://t.co/tvrtq8kE0n"
1467863442144960514,"@alisyarief Yang Mendidih Darahnya Yang Koresterolnya Tinggi Karena Sering Di Undang Makan Sea Food, Om ... Bener g jawabannya, om ... Klo bener hadiahnya minta tiket liat Sepak Bola Dunia d JIS ... Itupun klo g mendadak PPKM level 1  lg krn ada sepak bola, om ... 🤔"
1467863223177199622,PPKM #ppkmindonesia https://t.co/yuz5D5V86K
1467863186703470593,@rizzkyu62 Di Jakarta aja sih kak kayaknya. Dia mau join bareng keluarga ku. Soalnya kan ppkm mau diperketat jd kita terpaksa di jakarta dulu deh kak 😊🤭🤭
1467862922713989120,PPKM #ppkmindonesia https://t.co/Oq82ZV0zzu
1467862808012345350,Jatah cutinya 4 tapi ga boleh cuti 4 hari berturut-turut harus diambil satu persatu. Katanya ada ppkm jadi liburnya dikurangi biar nggak bepergian. Jadi ini Ppkm apa eksploitasi pekerja?
1467862628781330441,PPKM #ppkmindonesia https://t.co/mxhIjhL8Kz
1467862519062532100,Sirkel PPKM https://t.co/EqOgx2mlEm
1467862406613241856,"Ratas Evaluasi PPKM, Ini Penjelasan Menko Airlangga Hartarto https://t.co/XIh6sSkVtz https://t.co/tRB8CTPf4p"
1467862287444709376,PPKM #ppkmindonesia https://t.co/YErCBRBFjH
1467862284286320642,"jadwal uas belom keluar, masi gatau mau pulang tgl berapaa mana tgl 24 ppkm. Plis ya allah udah kangenn rumahh 😭"
1467862184764096515,"Pemerintah Kota Gorontalo berencana akan menerapkan aturan Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) level 3 dalam rangka libur Natal dan tahun baru. Kebijakan itu rencananya akan diberlakukan mulai 24 Desember hingga 2 Januari 2022 mendatang.
https://t.co/MsY2Y94gJ9"
1467862019973910534,"(2) Hingga saat ini, kasus aktif per 5 Desember 2021 sebanyak 7.526 atau 0,18% dari total kasus dan di bawah rata-rata global yang sebesar 7,91 persen.

Oleh karena itu, pemerintah kembali melanjutkan Pemberlakukan Pembatasan Kegiatan Masyarakat (#PPKM) di Luar Jawa-Bali hingga"
1467861958359760896,Sandiaga Uno menjelaskan adanya penyesuaian bahasa terkait peraturan menjelang libur nataru. Sebaiknya istilah PPKM Level 3 diganti menjadi peraturan khusus kegiatan yang berkaitan dengan Nataru.  https://t.co/LuGYCLixB0
1467861786233741318,PPKM #ppkmindonesia https://t.co/1FQmmyqFP4
1467861518775582724,"Oleh karena itu, pemerintah kembali melanjutkan Pemberlakukan Pembatasan Kegiatan Masyarakat (PPKM) di Luar Jawa-Bali hingga tanggal 23 Desember 2021."
1467861095897464833,"tetap pakai masker, jaga jarak, menghindari kerumunan, bijak bepergian.
#TetapMenjagaProkes
https://t.co/GgQmYPh0Rj"
1467861088737783816,"Implementasi kebijakan tersebut mencakup upaya mendorong pemerintah daerah memastikan masyarakat terus disiplin protokol kesehatan dan menahan mobilitas selama libur Natal 2021 dan Tahun Baru 2022. #TetapMenjagaProkes
https://t.co/GgQmYPh0Rj"
1467861080386924544,"Hal ini harus kita waspadai, apalagi mengingat sebentar lagi kita akan memasuki periode liburan Natal dan Tahun Baru, #TetapMenjagaProkes
https://t.co/GgQmYPh0Rj"
1467861072954552327,"Pada periode 15 - 21 November 2021, lebih dari 91 persen orang terpantau mematuhi aturan menjaga jarak dan menghindari kerumunan. #TetapMenjagaProkes
https://t.co/GgQmYPh0Rj"
1467861022753046532,PPKM Luar Jawa-Bali Diperpanjang Hingga 23 Desember Meski Tren Kasus Menurun https://t.co/lqwepfBeE6
1467861008509198343,PPKM Luar Jawa-Bali Diperpanjang Hingga 23 Desember Meski Tren Kasus Menurun https://t.co/IINpBMUXv5
1467860472024027137,"Pasha ungu orak iso njawab kepanjangan ppkm di dream box
Menjawab banyak hal"
1467860138258096136,"Target PPKM Level 1, Bupati Blora Gelar Rapat Evaluasi Percepatan Vaksinasi Tingkat Kabupaten https://t.co/w8OsEqz0o6"
1467860125968863233,"Udah siap siap mau liburan akhir tahun , tapi pemerintah menerapkan PPKM Level 3 ... 
Yaudah Liburan di rumah aja , tentunya bakalan semakin seru bersama INDIHOME 😍 

#InternetnyaIndonesia #AktivitasTanpaBatas #BerjuangTanpaBatas #Indihome https://t.co/vrZDQSuYsJ"
1467859556512325640,"Orang2 dah sibuk nyari temen, milih waktu buat nonton altarboys. aku masih sibuk wara wiri ngejar dinas sebelum ppkm akhir tahun 😢"
1467859509586509827,"@jnleeandyphile bener ... katanya juga nanti ada ppkm pas natal dan tahun baru , huhu sedih banget"
1467859187774464000,PPKM Luar Jawa-Bali berlanjut hingga 23 Desember – https://t.co/75aukAFqbS https://t.co/Nuk1LGoUgb
