date,title,clean_title
2021-12-01,Metrodata Gandeng Amazon Web Services Sediakan Layanan Transformasi dengan Cloud,metrodata gandeng amazon web services sediakan layanan transformasi cloud
2021-12-01,"Indonesia-Seychelles Bahas Kerja Sama Ekonomi Biru, Menteri KP Berikan Apresiasi",indonesia seychelles bahas kerja ekonomi biru menteri kp apresiasi
2021-12-01,Gibran Larang ASN Solo Mudik dan Bepergian Saat Libur Natal dan Tahun Baru,gibran larang asn solo mudik bepergian libur natal
2021-12-01,"Sudah Digencarkan Sejak 2010, Pariwisata Halal di NTB Masih Digodok",digencarkan pariwisata halal ntb digodok
2021-12-01,5 Penyebab Kucing Berhenti Menyantap Makanan Kering,penyebab kucing berhenti menyantap makanan kering
2021-12-01,"Lahan Belum Dibayar, Warga Pagari Kawasan Sirkuit Mandalika dengan Pohon Pisang",lahan dibayar warga pagari kawasan sirkuit mandalika pohon pisang
2021-12-01,"Reuni 212 Diancam Pidana, Panitia: Seharusnya Polisi Mengamankan, Bukan Menakut-nakuti!",reuni diancam pidana panitia polisi mengamankan menakut nakuti
2021-12-01,Jokowi Kumpulkan Menteri di Istana Bahas Corona Omicron,jokowi kumpulkan menteri istana bahas corona omicron
2021-12-01,"Jadi Tahanan Kejaksaan, Musisi Jerinx Pertimbangan Ajukan Penangguhan Penahanan",tahanan kejaksaan musisi jerinx pertimbangan ajukan penangguhan penahanan
2021-12-01,"Waspada Varian Omicron, Dokter RS UNS Imbau Pemerintah Lakukan Hal Ini",waspada varian omicron dokter rs uns imbau pemerintah lakukan
2021-12-01,"Naik Motor Bebek Sampai ke Paris, Video Perjalanan Pasangan Malaysia Ini Jadi Viral",motor bebek paris video perjalanan pasangan malaysia viral
2021-12-01,ODGJ di Blitar Mengamuk: Minggir! Biar Aku Bakar Rumah Teroris Ini,odgj blitar mengamuk minggir biar bakar rumah teroris
2021-12-01,"Berkat Sinergi dan Inovasi dalam Pemulihan Ekonomi, Gojek Raih Bank Indonesia Award 2021",berkat sinergi inovasi pemulihan ekonomi gojek raih bank indonesia award
2021-12-01,"3 Fakta Unik Restoran All You Can Eat, dari Mana Asalnya?",fakta unik restoran all you can eat asalnya
