Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.61,0.01,0.38905370779484555
100% Corpus,9,0.61,0.31,0.3426280923523689
100% Corpus,9,0.61,0.61,0.36095323046226224
100% Corpus,9,0.61,0.9099999999999999,0.39962679298489673
100% Corpus,9,0.61,symmetric,0.3695660822029518
100% Corpus,9,0.9099999999999999,0.01,0.4583151109495733
100% Corpus,9,0.9099999999999999,0.31,0.33691053253729286
100% Corpus,9,0.9099999999999999,0.61,0.46951659714232247
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.42984866648297154
100% Corpus,9,0.9099999999999999,symmetric,0.4102648621909068
100% Corpus,9,symmetric,0.01,0.3764647613450353
100% Corpus,9,symmetric,0.31,0.3707816153887904
100% Corpus,9,symmetric,0.61,0.3465667221120774
100% Corpus,9,symmetric,0.9099999999999999,0.33458797394334316
100% Corpus,9,symmetric,symmetric,0.3906725400310566
100% Corpus,9,asymmetric,0.01,0.3717116138207007
100% Corpus,9,asymmetric,0.31,0.38555859333753495
100% Corpus,9,asymmetric,0.61,0.38175816664745593
100% Corpus,9,asymmetric,0.9099999999999999,0.40303009824844144
100% Corpus,9,asymmetric,symmetric,0.3954052858860469
100% Corpus,10,0.01,0.01,0.34660051634824884
100% Corpus,10,0.01,0.31,0.3622283489474373
100% Corpus,10,0.01,0.61,0.3529327084770456
100% Corpus,10,0.01,0.9099999999999999,0.3382587976427657
100% Corpus,10,0.01,symmetric,0.35608001749810614
100% Corpus,10,0.31,0.01,0.37268761714810905
100% Corpus,10,0.31,0.31,0.348731637760357
100% Corpus,10,0.31,0.61,0.34997536147726305
100% Corpus,10,0.31,0.9099999999999999,0.32939054453150846
100% Corpus,10,0.31,symmetric,0.36971750161726274
100% Corpus,10,0.61,0.01,0.38381942123674323
100% Corpus,10,0.61,0.31,0.35183495266033354
100% Corpus,10,0.61,0.61,0.39346856211486686
100% Corpus,10,0.61,0.9099999999999999,0.5294488639691048
100% Corpus,10,0.61,symmetric,0.36496535198638874
100% Corpus,10,0.9099999999999999,0.01,0.4739933383809577
100% Corpus,10,0.9099999999999999,0.31,0.33749596370478685
100% Corpus,10,0.9099999999999999,0.61,0.4351413440067116
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.43091660269589127
100% Corpus,10,0.9099999999999999,symmetric,0.40585488390483737
100% Corpus,10,symmetric,0.01,0.34446713837801024
100% Corpus,10,symmetric,0.31,0.33976289434980667
100% Corpus,10,symmetric,0.61,0.34563180850156927
100% Corpus,10,symmetric,0.9099999999999999,0.35028844139667487
100% Corpus,10,symmetric,symmetric,0.3358778826770745
100% Corpus,10,asymmetric,0.01,0.4033616739155505
100% Corpus,10,asymmetric,0.31,0.45395745792692627
100% Corpus,10,asymmetric,0.61,0.44396528139374425
100% Corpus,10,asymmetric,0.9099999999999999,0.45963907317602004
100% Corpus,10,asymmetric,symmetric,0.3949809639203168
